Step Temp TotEng
0 299.89378 -89825891
200 299.54897 -89825808
400 299.768 -89825714
600 299.85956 -89826074
800 300.06024 -89825990
1000 300.03729 -89825969
1200 300.19488 -89825870
1400 299.86555 -89826175
1600 300.12585 -89826020
1800 300.06791 -89826024
2000 299.85202 -89826057
2200 300.10604 -89826031
2400 300.03985 -89826115
2600 300.12247 -89826096
2800 300.03768 -89826138
3000 300.10529 -89826192
3200 300.07068 -89826177
3400 300.05067 -89826198
3600 300.22732 -89826217
3800 300.20507 -89826228
4000 300.09188 -89826254
4200 300.16174 -89826262
4400 300.11119 -89826258
4600 300.14894 -89826264
4800 300.15901 -89826279
5000 300.1034 -89826352
5200 300.17156 -89826362
5400 300.19656 -89826368
5600 300.13073 -89826379
5800 300.05243 -89826314
6000 300.13499 -89826380
6200 300.21993 -89826395
6400 300.33125 -89826395
6600 300.28082 -89826483
6800 300.18003 -89826494
7000 300.22643 -89826407
7200 300.21032 -89826477
7400 300.17173 -89826468
7600 300.18485 -89826521
7800 300.21704 -89826525
8000 300.2738 -89826550
8200 300.18834 -89826552
8400 300.26311 -89826553
8600 300.3011 -89826651
8800 300.30452 -89826557
9000 300.26726 -89826637
9200 300.26597 -89826646
9400 300.27704 -89826708
9600 300.39724 -89826670
9800 300.28092 -89826668
10000 300.3635 -89826730
10200 300.43654 -89826729
10400 300.47599 -89826730
10600 300.3014 -89826776
10800 300.52666 -89826792
11000 300.30983 -89826764
11200 300.37857 -89826826
11400 300.21905 -89826807
11600 300.26332 -89826823
11800 300.4141 -89826912
12000 300.52905 -89826805
12200 300.34895 -89826867
12400 300.35566 -89826844
12600 300.58764 -89826962
12800 300.39874 -89826905
13000 300.32023 -89827015
13200 300.5056 -89826964
13400 300.3254 -89826972
13600 300.3647 -89827044
13800 300.41274 -89827019
14000 300.33965 -89827016
14200 300.42989 -89826967
14400 300.47389 -89827046
14600 300.4985 -89827106
14800 300.38168 -89827020
15000 300.48258 -89827050
15200 300.53332 -89827065
15400 300.56339 -89827081
15600 300.49449 -89827065
15800 300.68351 -89827237
16000 300.40389 -89827076
16200 300.51657 -89827201
16400 300.53244 -89827212
16600 300.60894 -89827213
16800 300.4625 -89827210
17000 300.80454 -89827255
17200 300.50178 -89827236
17400 300.61983 -89827311
17600 300.5706 -89827292
17800 300.58045 -89827292
18000 300.68639 -89827280
18200 300.71828 -89827328
18400 300.61046 -89827399
18600 300.45264 -89827264
18800 300.82705 -89827400
19000 300.79596 -89827380
19200 300.733 -89827396
19400 300.75734 -89827375
19600 300.67331 -89827451
19800 300.67131 -89827404
20000 300.75233 -89827467
